player_id,player,country_short
347,GPD Hartigan (SA),SA
348,CB Jennings (AUS),AUS
349,HW Taylor (SA),SA
350,TA Ward (SA),SA
351,CP Carter (SA),SA
352,H Dean (ENG),ENG
353,DBM Smith (AUS),AUS
354,ER Mayne (AUS),AUS
355,HV Baumgartner (SA),SA
356,JM Blanckenberg (SA),SA
357,MW Booth (ENG),ENG
358,AHC Cooper (SA),SA
359,JL Cox (SA),SA
360,PAM Hands (SA),SA
361,PT Lewis (SA),SA
362,GL Tapscott (SA),SA
363,Lord Tennyson (ENG),ENG
364,C Newberry (SA),SA
365,CD Dixon (SA),SA
366,LR Tuckett (SA),SA
367,HW Chapman (SA),SA
368,FL le Roux (SA),SA
369,D Taylor (SA),SA
370,RHM Hands (SA),SA
371,EB Lundie (SA),SA
372,HL Collins (AUS),AUS
373,JM Gregory (AUS),AUS
374,EH Hendren (ENG),ENG
375,AA Mailey (AUS),AUS
376,WAS Oldfield (AUS),AUS
377,CH Parkin (ENG),ENG
378,CE Pellew (AUS),AUS
379,CAG Russell (ENG),ENG
380,J Ryder (AUS),AUS
381,JM Taylor (AUS),AUS
382,A Waddington (ENG),ENG
383,H Howell (ENG),ENG
384,JWH Makepeace (ENG),ENG
385,RL Park (AUS),AUS
386,PGH Fender (ENG),ENG
387,EA McDonald (AUS),AUS
388,A Dolphin (ENG),ENG
389,ER Wilson (ENG),ENG
390,TJE Andrews (AUS),AUS
391,HSTL Hendry (AUS),AUS
392,P Holmes (ENG),ENG
393,VWC Jupp (ENG),ENG
394,DJ Knight (ENG),ENG
395,TL Richmond (ENG),ENG
396,GE Tyldesley (ENG),SL
397,AE Dipper (ENG),ENG
398,FJ Durston (ENG),ENG
399,AJ Evans (ENG),ENG
400,NE Haig (ENG),ENG
401,G Brown (ENG),ENG
402,A Ducat (ENG),ENG
403,HTW Hardinge (ENG),ENG
404,JC White (ENG),ENG
405,C Hallows (ENG),ENG
406,CWL Parker (ENG),ENG
407,A Sandham (ENG),SA
408,CN Frank (SA),SA
409,WVS Ling (SA),SA
410,WFE Marx (SA),SA
411,EP Nupen (SA),SA
412,NV Lindsay (SA),SA
413,N Reid (SA),SA
414,WH Brann (SA),SA
415,ID Buys (SA),SA
416,AW Carr (ENG),ENG
417,RH Catterall (SA),SA
418,CM Francois (SA),SA
419,AER Gilligan (ENG),ENG
420,GAL Hearne (SA),SA
421,AS Kennedy (ENG),ENG
422,FT Mann (ENG),ENG
423,GTS Stevens (ENG),ENG
424,AE Hall (SA),SA
425,GG Macaulay (ENG),ENG
426,GB Street (ENG),ENG
427,DJ Meintjes (SA),SA
428,LE Tapscott (SA),SA
429,DP Conyngham (SA),SA
430,APF Chapman (ENG),ENG
431,HG Deane (SA),SA
432,R Kilner (ENG),ENG
433,GM Parker (SA),SA
434,MJ Susskind (SA),SA
435,H Sutcliffe (ENG),ENG
436,MW Tate (ENG),ENG
437,GEC Wood (ENG),ENG
438,RK Tyldesley (ENG),SL
439,G Duckworth (ENG),ENG
440,G Geary (ENG),ENG
441,JCW MacBryan (ENG),ENG
442,AP Freeman (ENG),ENG
443,WH Ponsford (AUS),AUS
444,AJ Richardson (AUS),AUS
445,VY Richardson (AUS),AUS
446,AEV Hartkopf (AUS),AUS
447,WW Whysall (ENG),SA
448,CV Grimmett (AUS),AUS
449,AF Kippax (AUS),AUS
450,CF Root (ENG),ENG
451,WM Woodfull (AUS),AUS
